,Batch,FPS,Memory,Method,Run,Time
0,0.0,0.0020570840833119054,144.0,CA-LBF II,1.0,1.0672734657675801e-05
1,1.0,0.003268736866682232,176.0,CA-LBF II,1.0,6.047521884015981e-05
2,2.0,0.005766766339171294,176.0,CA-LBF II,1.0,6.915424869268267e-05
3,3.0,0.008070866141732283,176.0,CA-LBF II,1.0,7.622815761328733e-05
4,4.0,0.0147918188458729,176.0,CA-LBF II,1.0,8.526085817962267e-05
5,5.0,0.013308309162259,208.0,CA-LBF II,1.0,0.00010014866397588579
6,6.0,0.024288910194950462,208.0,CA-LBF II,1.0,0.00010114102750211148
7,7.0,0.016576250753465943,208.0,CA-LBF II,1.0,0.00012342597739364402
8,8.0,0.02916903813318156,208.0,CA-LBF II,1.0,0.0001111823654967881
9,9.0,0.019140045828278742,272.0,CA-LBF II,1.0,0.00016500399662898137
10,10.0,0.024296675191815855,272.0,CA-LBF II,1.0,0.00013980548247973784
11,0.0,0.0020570840833119054,144.0,LBF,1.0,1.583143929454768e-05
12,1.0,0.0035022180714452487,176.0,LBF,1.0,6.758276357690329e-05
13,2.0,0.0070482699700982485,176.0,LBF,1.0,7.335180068906412e-05
14,3.0,0.01141732283464567,176.0,LBF,1.0,8.4742470895601e-05
15,4.0,0.020635500365230094,176.0,LBF,1.0,9.250393546963134e-05
16,5.0,0.025251663538645282,208.0,LBF,1.0,0.00010795068938702469
17,6.0,0.037392138063279005,208.0,LBF,1.0,0.00010871441101581787
18,7.0,0.040536467751657625,208.0,LBF,1.0,0.00013316792906445922
19,8.0,0.05421172453044963,208.0,LBF,1.0,0.00011926877027737624
20,9.0,0.05688098126432134,272.0,LBF,1.0,0.00012844565504553909
21,10.0,0.062020460358056265,272.0,LBF,1.0,0.00012386663044316852
22,0.0,0.00565698122910774,66148.0,IA-LBF,1.0,1.4255004756052052e-05
23,1.0,0.0058370301190754145,72724.0,IA-LBF,1.0,9.051991696179655e-06
24,2.0,0.006407518154634771,79220.0,IA-LBF,1.0,8.648361902513939e-06
25,3.0,0.006496062992125984,84972.0,IA-LBF,1.0,8.662706588808432e-06
26,4.0,0.00620891161431702,91440.0,IA-LBF,1.0,9.263204835757181e-06
27,5.0,0.006483535232895411,98464.0,IA-LBF,1.0,1.0102616306162474e-05
28,6.0,0.006072227548737616,105128.0,IA-LBF,1.0,8.67873368292985e-06
29,7.0,0.00617842073538276,112324.0,IA-LBF,1.0,1.0528584280033865e-05
30,8.0,0.0061183836084234495,118460.0,IA-LBF,1.0,9.181345822657468e-06
31,9.0,0.0063350855910500065,124368.0,IA-LBF,1.0,9.187789568038592e-06
32,10.0,0.006649616368286445,130556.0,IA-LBF,1.0,8.249976778724338e-06
33,0.0,0.0020570840833119054,144.0,CA-LBF I,1.0,1.3877842904127523e-05
34,1.0,0.002801774457156199,144.0,CA-LBF I,1.0,8.653308346063765e-06
35,2.0,0.004271678769756515,144.0,CA-LBF I,1.0,8.058745831374806e-06
36,3.0,0.00531496062992126,144.0,CA-LBF I,1.0,8.215548091904256e-06
37,4.0,0.007852447041636231,144.0,CA-LBF I,1.0,8.450998804875923e-06
38,5.0,0.008872206108172668,144.0,CA-LBF I,1.0,9.386865924502803e-06
39,6.0,0.011185682326621925,144.0,CA-LBF I,1.0,8.338206523173565e-06
40,7.0,0.012507534659433394,144.0,CA-LBF I,1.0,9.981857268081634e-06
41,8.0,0.013801935116676153,144.0,CA-LBF I,1.0,8.81008695416044e-06
42,9.0,0.015500741339803208,144.0,CA-LBF I,1.0,8.918143607474662e-06
43,10.0,0.017391304347826087,144.0,CA-LBF I,1.0,7.794949220272706e-06
44,0.0,0.0030557677616501145,144.0,CA-LBF II,2.0,9.308178229247793e-06
45,1.0,0.008327550312283136,176.0,CA-LBF II,2.0,5.924899548415821e-05
46,2.0,0.009544008483563097,176.0,CA-LBF II,2.0,6.97522737178565e-05
47,3.0,0.009219301686936054,176.0,CA-LBF II,2.0,8.092678434126605e-05
48,4.0,0.014587892049598834,176.0,CA-LBF II,2.0,8.910572875090159e-05
49,5.0,0.0235254006137061,208.0,CA-LBF II,2.0,9.591994938514045e-05
50,6.0,0.0183735420993769,208.0,CA-LBF II,2.0,0.00010512425349308894
51,7.0,0.012349397590361445,208.0,CA-LBF II,2.0,0.00012180463192120907
52,8.0,0.029562251279135872,208.0,CA-LBF II,2.0,0.00011201212163278814
53,9.0,0.028028567578493466,272.0,CA-LBF II,2.0,0.00012972696903093938
54,10.0,0.018286445012787724,272.0,CA-LBF II,2.0,0.00015401245402694988
55,0.0,0.0030557677616501145,144.0,LBF,2.0,2.53157947417484e-05
56,1.0,0.007864908628267407,176.0,LBF,2.0,7.482930337739684e-05
57,2.0,0.01505832449628844,176.0,LBF,2.0,6.910379496847445e-05
58,3.0,0.018438603373872108,176.0,LBF,2.0,8.072595873314315e-05
59,4.0,0.02662290299051787,176.0,LBF,2.0,9.616875549569665e-05
60,5.0,0.03852710535288101,208.0,LBF,2.0,9.134844625639222e-05
61,6.0,0.04553443042019492,208.0,LBF,2.0,9.236464629302154e-05
62,7.0,0.04743975903614458,208.0,LBF,2.0,0.0001097692025674356
63,8.0,0.05812961910176236,208.0,LBF,2.0,0.00010212097247276386
64,9.0,0.06966716076000538,272.0,LBF,2.0,0.0001328630903406599
65,10.0,0.07199488491048593,272.0,LBF,2.0,0.00012859881791652116
66,0.0,0.005092946269416858,63456.0,IA-LBF,2.0,1.3665023993851611e-05
67,1.0,0.005320379366180893,69164.0,IA-LBF,2.0,8.834348179987358e-06
68,2.0,0.005090137857900318,74784.0,IA-LBF,2.0,9.191976048639702e-06
69,3.0,0.004903883876029816,81688.0,IA-LBF,2.0,1.002644107549517e-05
70,4.0,0.004741064916119621,88984.0,IA-LBF,2.0,9.78653856332866e-06
71,5.0,0.00477326968973747,95904.0,IA-LBF,2.0,1.0505751455473207e-05
72,6.0,0.005112637801565745,103012.0,IA-LBF,2.0,9.105012223527237e-06
73,7.0,0.005421686746987952,111452.0,IA-LBF,2.0,1.0331306536827166e-05
74,8.0,0.005827174530983513,117372.0,IA-LBF,2.0,8.746640845792457e-06
75,9.0,0.005659614607195796,124380.0,IA-LBF,2.0,9.99375341340063e-06
76,10.0,0.00639386189258312,130100.0,IA-LBF,2.0,1.032238442783792e-05
77,0.0,0.0030557677616501145,144.0,CA-LBF I,2.0,1.265846680257922e-05
78,1.0,0.0037011334721258385,144.0,CA-LBF I,2.0,8.363941398399004e-06
79,2.0,0.004029692470837752,144.0,CA-LBF I,2.0,8.742838974315597e-06
80,3.0,0.004903883876029816,144.0,CA-LBF I,2.0,9.600552285855242e-06
81,4.0,0.006017505470459519,144.0,CA-LBF I,2.0,9.327013957549923e-06
82,5.0,0.007159904534606206,144.0,CA-LBF I,2.0,9.803356471398065e-06
83,6.0,0.009586195877935773,144.0,CA-LBF I,2.0,8.597939029304997e-06
84,7.0,0.010240963855421687,144.0,CA-LBF I,2.0,9.731542543661073e-06
85,8.0,0.012507106310403639,144.0,CA-LBF I,2.0,8.573155393223753e-06
86,9.0,0.014957552890446032,144.0,CA-LBF I,2.0,9.34442214807205e-06
87,10.0,0.017135549872122763,144.0,CA-LBF I,2.0,8.065090853558261e-06
88,0.0,0.0025497195308516064,144.0,CA-LBF II,3.0,1.2593006914402219e-05
89,1.0,0.007665505226480836,176.0,CA-LBF II,3.0,5.6015505335637645e-05
90,2.0,0.026360544217687076,176.0,CA-LBF II,3.0,6.620320047085711e-05
91,3.0,0.019219454795057853,176.0,CA-LBF II,3.0,7.604563384629879e-05
92,4.0,0.015664845173041893,176.0,CA-LBF II,3.0,0.0001047063170626945
93,5.0,0.013240536411475132,208.0,CA-LBF II,3.0,9.112387771923017e-05
94,6.0,0.011946479770627589,208.0,CA-LBF II,3.0,0.0001289026652948772
95,7.0,0.014699265036748163,208.0,CA-LBF II,3.0,0.00011462183851214307
96,8.0,0.015303953521326342,208.0,CA-LBF II,3.0,0.00012260365634846835
97,9.0,0.02216550241805481,272.0,CA-LBF II,3.0,0.00013526264198604593
98,10.0,0.02557544757033248,272.0,CA-LBF II,3.0,0.00015051052624867018
99,0.0,0.0025497195308516064,144.0,LBF,3.0,1.2801567465840593e-05
100,1.0,0.007897793263646922,176.0,LBF,3.0,9.447360929117164e-05
101,2.0,0.030612244897959183,176.0,LBF,3.0,9.716051742743655e-05
102,3.0,0.04118454598940969,176.0,LBF,3.0,7.567019878086708e-05
103,4.0,0.04735883424408015,176.0,LBF,3.0,0.00010302699947752894
104,5.0,0.052792395179086744,208.0,LBF,3.0,0.00010476517974093742
105,6.0,0.0536795157693533,208.0,LBF,3.0,0.00011251423809979413
106,7.0,0.056097195140242986,208.0,LBF,3.0,0.00011726823517289826
107,8.0,0.058948561711775545,208.0,LBF,3.0,0.00012101899065743365
108,9.0,0.06528747984954325,272.0,LBF,3.0,0.00017689419387531874
109,10.0,0.0731457800511509,272.0,LBF,3.0,0.0001448167336953653
110,0.0,0.00790413054563998,62808.0,IA-LBF,3.0,1.3802975013867593e-05
111,1.0,0.00743321718931475,69712.0,IA-LBF,3.0,1.981297963882383e-05
112,2.0,0.007227891156462585,76664.0,IA-LBF,3.0,8.452977382295853e-06
113,3.0,0.006471857226907237,83680.0,IA-LBF,3.0,8.840283912247148e-06
114,4.0,0.006193078324225865,89284.0,IA-LBF,3.0,9.508053791473515e-06
115,5.0,0.0057715158716686475,95596.0,IA-LBF,3.0,8.439621984711326e-06
116,6.0,0.005893596686842944,102800.0,IA-LBF,3.0,9.7260901437232e-06
117,7.0,0.006149692515374231,109972.0,IA-LBF,3.0,9.616546472244105e-06
118,8.0,0.005526427660478957,116580.0,IA-LBF,3.0,9.470323019364767e-06
119,9.0,0.005910800644814616,123480.0,IA-LBF,3.0,9.750873779804443e-06
120,10.0,0.006138107416879796,130784.0,IA-LBF,3.0,1.0851267221811656e-05
121,0.0,0.0025497195308516064,144.0,CA-LBF I,3.0,1.0326223086221443e-05
122,1.0,0.003716608594657375,144.0,CA-LBF I,3.0,9.611929106019839e-06
123,2.0,0.0055272108843537416,144.0,CA-LBF I,3.0,1.0544333715161842e-05
124,3.0,0.005491272798587958,144.0,CA-LBF I,3.0,8.464848846815435e-06
125,4.0,0.0069216757741347905,144.0,CA-LBF I,3.0,8.82297135982276e-06
126,5.0,0.007808521473434052,144.0,CA-LBF I,3.0,8.151244325756531e-06
127,6.0,0.009079324625676967,144.0,CA-LBF I,3.0,9.184319858987218e-06
128,7.0,0.009899505024748763,144.0,CA-LBF I,3.0,9.184319858987218e-06
129,8.0,0.012044778234377215,144.0,CA-LBF I,3.0,8.825948481252436e-06
130,9.0,0.013970983342289092,144.0,CA-LBF I,3.0,9.098568478146115e-06
131,10.0,0.017263427109974423,144.0,CA-LBF I,3.0,1.0482486716922752e-05
132,0.0,0.002291825821237586,144.0,CA-LBF II,4.0,1.1305447555652907e-05
133,1.0,0.00788863109048724,176.0,CA-LBF II,4.0,6.293508521748776e-05
134,2.0,0.010830324909747292,176.0,CA-LBF II,4.0,7.437076806032806e-05
135,3.0,0.011392653702612453,176.0,CA-LBF II,4.0,8.043411856370349e-05
136,4.0,0.012199563000728332,176.0,CA-LBF II,4.0,9.028842340366475e-05
137,5.0,0.016499404660656573,208.0,CA-LBF II,4.0,9.806670588576448e-05
138,6.0,0.014553014553014554,208.0,CA-LBF II,4.0,0.00011351351430658987
139,7.0,0.010531066646607492,208.0,CA-LBF II,4.0,0.00011434178342442503
140,8.0,0.03430116709365215,208.0,CA-LBF II,4.0,0.00012526244482726417
141,9.0,0.022381016583524337,272.0,CA-LBF II,4.0,0.00014025010091103535
142,10.0,0.023785166240409206,272.0,CA-LBF II,4.0,0.00011996221641492942
143,0.0,0.002291825821237586,144.0,LBF,4.0,1.27177867315021e-05
144,1.0,0.00788863109048724,176.0,LBF,4.0,7.595412464062703e-05
145,2.0,0.015077511148863878,176.0,LBF,4.0,6.563881126182208e-05
146,3.0,0.02219603221371047,176.0,LBF,4.0,8.003939236842745e-05
147,4.0,0.028404952658412235,176.0,LBF,4.0,7.990237588209729e-05
148,5.0,0.036230651471338665,208.0,LBF,4.0,9.720503541938497e-05
149,6.0,0.04078042539581001,208.0,LBF,4.0,0.00011626400223888628
150,7.0,0.04212426658642997,208.0,LBF,4.0,0.00010754858877455618
151,8.0,0.06148590947907771,208.0,LBF,4.0,0.00012862607991621054
152,9.0,0.06687339894836188,272.0,LBF,4.0,0.00012763770850929054
153,10.0,0.07186700767263426,272.0,LBF,4.0,0.00013724582854526701
154,0.0,0.008403361344537815,63700.0,IA-LBF,4.0,1.3709984340647919e-05
155,1.0,0.00788863109048724,70680.0,IA-LBF,4.0,1.0101132373097527e-05
156,2.0,0.007432575918454024,75884.0,IA-LBF,4.0,8.507882905698911e-06
157,3.0,0.007071302298173247,83776.0,IA-LBF,4.0,1.026436501024175e-05
158,4.0,0.007101238164603059,89556.0,IA-LBF,4.0,8.287271523376718e-06
159,5.0,0.007824459942167036,95848.0,IA-LBF,4.0,9.806324337527959e-06
160,6.0,0.00719654565808412,103336.0,IA-LBF,4.0,1.0996499329247742e-05
161,7.0,0.007070859034150744,109744.0,IA-LBF,4.0,9.09609011453799e-06
162,8.0,0.00654711073156846,116620.0,IA-LBF,4.0,1.0545932825290736e-05
163,9.0,0.006471619253067278,123896.0,IA-LBF,4.0,9.333021675474678e-06
164,10.0,0.006649616368286445,130540.0,IA-LBF,4.0,8.225193142643094e-06
165,0.0,0.002291825821237586,144.0,CA-LBF I,4.0,1.2722639279944874e-05
166,1.0,0.0032482598607888632,144.0,CA-LBF I,4.0,9.579777222945976e-06
167,2.0,0.004247186239116585,144.0,CA-LBF I,4.0,8.03203503620575e-06
168,3.0,0.006678452170496956,144.0,CA-LBF I,4.0,9.662877474583037e-06
169,4.0,0.008011653313911144,144.0,CA-LBF I,4.0,7.892050683745705e-06
170,5.0,0.009015138629018541,144.0,CA-LBF I,4.0,9.185051027669946e-06
171,6.0,0.010075163921317767,144.0,CA-LBF I,4.0,1.0379882463546405e-05
172,7.0,0.010982398074319243,144.0,CA-LBF I,4.0,8.48542132149615e-06
173,8.0,0.013805863933959578,144.0,CA-LBF I,4.0,9.944186141238143e-06
174,9.0,0.016179048132668194,144.0,CA-LBF I,4.0,8.762998045606079e-06
175,10.0,0.017263427109974423,144.0,CA-LBF I,4.0,7.652691149166369e-06
176,0.0,0.0007718034473887317,144.0,CA-LBF II,5.0,1.324760579617224e-05
177,1.0,0.002102803738317757,176.0,CA-LBF II,5.0,5.981486862625819e-05
178,2.0,0.0036340316374519027,176.0,CA-LBF II,5.0,6.933776174838117e-05
179,3.0,0.0149812734082397,176.0,CA-LBF II,5.0,7.37311929093357e-05
180,4.0,0.020464096473597662,176.0,CA-LBF II,5.0,8.18211013350744e-05
181,5.0,0.009879066598535173,208.0,CA-LBF II,5.0,9.156312190645463e-05
182,6.0,0.028124001278363696,208.0,CA-LBF II,5.0,0.00010511780974770781
183,7.0,0.021366235329521515,208.0,CA-LBF II,5.0,0.00011640725165543586
184,8.0,0.017354196301564723,208.0,CA-LBF II,5.0,0.00012772098152652353
185,9.0,0.026823021970615986,272.0,CA-LBF II,5.0,0.0001267222009924494
186,10.0,0.03388746803069054,272.0,CA-LBF II,5.0,0.0001194774484931803
187,0.0,0.0007718034473887317,144.0,LBF,5.0,1.326845194815599e-05
188,1.0,0.0025700934579439253,176.0,LBF,5.0,6.0419818672401774e-05
189,2.0,0.005771697306541257,176.0,LBF,5.0,5.879590125499425e-05
190,3.0,0.017938103686181747,176.0,LBF,5.0,6.751252407849577e-05
191,4.0,0.02996528412205372,176.0,LBF,5.0,8.291921180313553e-05
192,5.0,0.03389541815704309,208.0,LBF,5.0,9.01227175447456e-05
193,6.0,0.05129434324065196,208.0,LBF,5.0,0.00010580035108538526
194,7.0,0.05567258501354198,208.0,LBF,5.0,0.00011260593755329474
195,8.0,0.06258890469416785,208.0,LBF,5.0,0.00012146360908873117
196,9.0,0.0703598867771937,272.0,LBF,5.0,0.0001266840341928843
197,10.0,0.08184143222506395,272.0,LBF,5.0,0.00011907793627955066
198,0.0,0.00797530228968356,65464.0,IA-LBF,5.0,1.4327297824689285e-05
199,1.0,0.00794392523364486,72588.0,IA-LBF,5.0,9.156856299435944e-06
200,2.0,0.007268063274903805,79328.0,IA-LBF,5.0,8.695353116237276e-06
201,3.0,0.0072935146855903805,85128.0,IA-LBF,5.0,9.015882658265933e-06
202,4.0,0.00749132103051343,91380.0,IA-LBF,5.0,8.457923825845679e-06
203,5.0,0.007664793050587634,98272.0,IA-LBF,5.0,8.695847760592258e-06
204,6.0,0.007670182166826462,105232.0,IA-LBF,5.0,9.686931998714835e-06
205,7.0,0.007372855853144749,112040.0,IA-LBF,5.0,1.8551047279532386e-05
206,8.0,0.007254623044096728,118912.0,IA-LBF,5.0,1.2197018661023178e-05
207,9.0,0.007009030866693624,125096.0,IA-LBF,5.0,1.165673539445207e-05
208,10.0,0.00690537084398977,131148.0,IA-LBF,5.0,1.0138985520836717e-05
209,0.0,0.0007718034473887317,144.0,CA-LBF I,5.0,1.0060521301079391e-05
210,1.0,0.0016355140186915889,144.0,CA-LBF I,5.0,9.248860149462688e-06
211,2.0,0.0025651988029072254,144.0,CA-LBF I,5.0,8.75174257270528e-06
212,3.0,0.003942440370589394,144.0,CA-LBF I,5.0,8.876392950160869e-06
213,4.0,0.005846884706742189,144.0,CA-LBF I,5.0,8.370371775013777e-06
214,5.0,0.007153806847215125,144.0,CA-LBF I,5.0,8.647372613803975e-06
215,6.0,0.009268136784915308,144.0,CA-LBF I,5.0,9.691888725931085e-06
216,7.0,0.010081251880830575,144.0,CA-LBF I,5.0,9.473297055694517e-06
217,8.0,0.013655761024182077,144.0,CA-LBF I,5.0,9.87776599654041e-06
218,9.0,0.015500741339803208,144.0,CA-LBF I,5.0,9.387050002131789e-06
219,10.0,0.017391304347826087,144.0,CA-LBF I,5.0,7.965956309233287e-06
220,0.0,0.002566735112936345,144.0,CA-LBF II,6.0,1.3164518283039857e-05
221,1.0,0.01798225128444652,176.0,CA-LBF II,6.0,9.707346002095962e-05
222,2.0,0.019280205655526992,176.0,CA-LBF II,6.0,7.023949840751426e-05
223,3.0,0.00650887573964497,176.0,CA-LBF II,6.0,7.415906027639555e-05
224,4.0,0.01918509044399781,176.0,CA-LBF II,6.0,8.048852944275155e-05
225,5.0,0.012099522835719155,208.0,CA-LBF II,6.0,9.519875791557597e-05
226,6.0,0.01596169193934557,208.0,CA-LBF II,6.0,0.00010093383630447229
227,7.0,0.022583559168925023,208.0,CA-LBF II,6.0,0.000122477259804454
228,8.0,0.020628823445724854,208.0,CA-LBF II,6.0,0.00012179967519399282
229,9.0,0.017246025330099703,272.0,CA-LBF II,6.0,0.00014213514427137473
230,10.0,0.02340153452685422,272.0,CA-LBF II,6.0,0.00012891158740386646
231,0.0,0.002566735112936345,144.0,LBF,6.0,1.3125747411298109e-05
232,1.0,0.01798225128444652,176.0,LBF,6.0,6.001025314647627e-05
233,2.0,0.031919451585261355,176.0,LBF,6.0,6.994815288242958e-05
234,3.0,0.033136094674556214,176.0,LBF,6.0,7.221708653873427e-05
235,4.0,0.04385163530056642,176.0,LBF,6.0,7.878299570677191e-05
236,5.0,0.050443081117927745,208.0,LBF,6.0,8.925214347997641e-05
237,6.0,0.055227454110135674,208.0,LBF,6.0,9.615555126800854e-05
238,7.0,0.06323396567299007,208.0,LBF,6.0,0.00011954188594699154
239,8.0,0.06729264475743349,208.0,LBF,6.0,0.00011471254662020043
240,9.0,0.07033144704931285,272.0,LBF,6.0,0.00012300564692570613
241,10.0,0.07506393861892584,272.0,LBF,6.0,0.00012063286160728788
242,0.0,0.005646817248459959,65884.0,IA-LBF,6.0,1.4212124072874074e-05
243,1.0,0.005604857543204111,72496.0,IA-LBF,6.0,9.862219149640981e-06
244,2.0,0.006640959725792631,78516.0,IA-LBF,6.0,1.0013085677910642e-05
245,3.0,0.00650887573964497,84416.0,IA-LBF,6.0,8.406975457282482e-06
246,4.0,0.006212315000913576,88796.0,IA-LBF,6.0,8.451988093585889e-06
247,5.0,0.006475800954328562,95872.0,IA-LBF,6.0,9.024291612300635e-06
248,6.0,0.006225059856344773,101852.0,IA-LBF,6.0,8.84874942644718e-06
249,7.0,0.006022282445046673,109520.0,IA-LBF,6.0,1.0813596094968165e-05
250,8.0,0.0061175131597666806,116952.0,IA-LBF,6.0,9.702793525806831e-06
251,9.0,0.006332524925895985,124440.0,IA-LBF,6.0,9.30476833034206e-06
252,10.0,0.0058823529411764705,130936.0,IA-LBF,6.0,8.73871008224646e-06
253,0.0,0.002566735112936345,144.0,CA-LBF I,6.0,1.3164369735638547e-05
254,1.0,0.004203643157403083,144.0,CA-LBF I,6.0,9.51102165760341e-06
255,2.0,0.005569837189374464,144.0,CA-LBF I,6.0,9.292388852701148e-06
256,3.0,0.005917159763313609,144.0,CA-LBF I,6.0,7.767400306290117e-06
257,4.0,0.006395030147999269,144.0,CA-LBF I,6.0,7.704580473207339e-06
258,5.0,0.008691206543967281,144.0,CA-LBF I,6.0,8.772022991259563e-06
259,6.0,0.0111731843575419,144.0,CA-LBF I,6.0,8.09037016236113e-06
260,7.0,0.012646793134598013,144.0,CA-LBF I,6.0,9.830181415264424e-06
261,8.0,0.014084507042253521,144.0,CA-LBF I,6.0,8.949866661658654e-06
262,9.0,0.014820803018054433,144.0,CA-LBF I,6.0,8.389260813500925e-06
263,10.0,0.017135549872122763,144.0,CA-LBF I,6.0,8.186530670356354e-06
264,0.0,0.0025471217524197657,144.0,CA-LBF II,7.0,9.410576904550396e-06
265,1.0,0.024825986078886312,176.0,CA-LBF II,7.0,8.814018296997577e-05
266,2.0,0.013390010626992561,176.0,CA-LBF II,7.0,0.00011800186268026897
267,3.0,0.013937966234786024,176.0,CA-LBF II,7.0,0.00013099616988565912
268,4.0,0.01930080116533139,176.0,CA-LBF II,7.0,8.628872914927629e-05
269,5.0,0.030117406840224605,208.0,CA-LBF II,7.0,9.781938370827322e-05
270,6.0,0.02011173184357542,208.0,CA-LBF II,7.0,0.00021717801163449358
271,7.0,0.015010507355148604,208.0,CA-LBF II,7.0,0.00023359072679293626
272,8.0,0.02643171806167401,208.0,CA-LBF II,7.0,0.00022031016756244112
273,9.0,0.015746971736204575,272.0,CA-LBF II,7.0,0.00025318665216965386
274,10.0,0.01751918158567775,272.0,CA-LBF II,7.0,0.00015681498759501688
275,0.0,0.0025471217524197657,144.0,LBF,7.0,9.983524231400693e-06
276,1.0,0.023665893271461718,176.0,LBF,7.0,6.292717090780804e-05
277,2.0,0.03251859723698194,176.0,LBF,7.0,6.615571461277879e-05
278,3.0,0.04063604240282685,176.0,LBF,7.0,7.770467101291007e-05
279,4.0,0.051711580480699196,176.0,LBF,7.0,8.086544844124821e-05
280,5.0,0.06550961374851115,208.0,LBF,7.0,9.334730409487649e-05
